Autor,new_processed
@andreu8510,bienvenido a ajpana
@danielyara4,de la concha
@Adri02,yo estuve hace un par de semanas en ese mismo parking y habia cinco teslas cargando tuvieron suerte
@Pipipott,la gente no piensa en nada
@McarpinteroGaliano,saull tienes que empezar a mentalizarte el tema de la movilidad electrica hasta hace cuatro dias era de uno romantico pero ahora empiezan tal todo tipo de personas entre las cuales habra una minoria seguro una minoria que son unos jetas y unos desconsiderados y eso es inevitable
@FurKenFK,tenemos que empezar a hacer quedadas para bloquear gasolineras
@Eloy.1972,entiendo tu enfado saul a parte de luchar por la falta de cargadores tambien hay que meter el pco civismo de la gente vergonzoso sin mas
@altramuz00,no hay educacion ni te molestes en comprenderlo saul
@TheGFailure,pena no haber sabido que estabas y te hubiera ayudado a darle cana
@javip9064,yo aparcaria mi xiaomi m365 pro pero lo pondria a cargar
@josealfredorubio2274,que razon tienes
@RENAULTSPORTASTURIAS,se la sopla la multa ya y todogente mayor con dinero que se la sopla todo pa cuatro dias que les queda si hay sitio de sobra en el parking entonces si que habia que insultarlos jajaja
@Jabymg19,vas a tener que comprar una caja de rotuladores con uno no tienes para tanto sinverguenza
@pedrocuesta3099,al igual que hay plazas reservadas para motocicletas y estacionan otros vehiculos podrian cometer infracciones deberia de pasar igual con los hechos que describes exactamente igual de reprochable como dices
@michaelmrlr7586,espanase la sopla todo a mucha gentede ahi la situacion que hay en espanada penita
@TodosElectricos,estuve en el mismo parking el ano pasado y no tenia este problema de hecho en todas las plazas para electricos no habia nadie este es algo que culturalmente no se debe normalizar ya que sino se acaban las posibilidades de cargar
@user-fn1zz2ue8o,hay personas que aparcan en plazas que no les corresponde y hay gente que se pone la mascarilla al reves creyendo que eso les va a proteger a ellos en vez de a los demas y tienen una cosa en comun que lo hacen por egoismo o por despiste pasate a lo electrico aaauuuuuuuu
@pepefernandezrivero9240,a mi esas cosas no me pasan porque me lio a palazos con los coches si es en mi urbanizacion que una vecina aparca el coche muy retirado de la pared y los demas no podemos pasar bien con el coche y ya llevo cuatro notitas dos llamadas al telefonillo y uno llamada a la grua municipal no me quiero imaginar si me pasa eso
@Limoneti,empieza a sacar obuses y saca el rotulador a pasear tambien
@magirusmagirus8045,chapeau saul a ver si con un poco de suerte ven el video algunos de los caraduras ellos o algun conocido que les de un poquito de verguenza al ver sus coches en el video al menos la explicacion a ese tipo de conductas es facil un amigo la resume con una estupenda frase desde hace mucho tiempo cada uno va a lo suyo menos yo que voy a lo mio
@yoyyaesta4808,el cartel pone claramente en tres idiomas solo coches electricos sin embargo este tambien es un tema importante habria que exigir la correcta senalizacion r308 y texto solo coches electricos cargando para que luego no haya problema al multar y retirar el vehiculo
@slcuervo,si lo se con el ataque de mala hostia que me entro al ver los coches me puse la mascarilla del reves
@UleeV90,nunca habia visto a saul tan enojaoo justificado psedit y eso que me he recetado buena parte de sus videos
@ricardalbert3536,esto pasa mucho es muy triste
@JavierMorentin,de lo malo la mayoria son electricos o hibridos enchufables aunque no esten enchufados ahora sabras lo que siento yo cuando voy a aparcar en zona reservada para personas con discapacidad y tengo la plaza ocupada por un coche sin tarjeta
@MileuristaconPanza,perdon ahora bajo
@David23FS,en el cartel pone solo coches electricos no solo coches electricos enchufados pon una queja en el local y que lo cambien pero yo quitando a tu amigo y otro coche el resto los veo bien aparcados segun las indicaciones del parking
@dabelfio,civismo esa palabra no la conoce la gente pero mas critica es que los que llevan electrico no carguen quitando la plaza a uno que lo necesita por favor respetar para que te respeten
@Prestidigitad0r,llevas la mascarilla al reves
@joseluislista5586,amigo saul te olvidas de un detalle estas en espana que esperabas
@sergiorapita,yo les quito el aire a las cuatro ruedas de todos los coches que no estan cargando ya que me joden el viaje a mi pues ellos que no se vayan de rositas y pierdas tantas horas o mas que yo los granitos de arros hacen maravillas para gente asi
@Loren0004,los de los termicos diria que mas de la mitad estan tan atontaos que ni se han dado cuenta pero lo de los electricos denota ese pensamiento tan tipico de listillo de jeje yo tengo un electrico y aparco en la puerta sin pensar si quiera la razon de ser de la prohibicion o peor aun pensandola y diciendo aqui dice vehiculos electricos pues tira patetico
@EN-fs8sc,creo que despues de grabar este video saul se quedo sin tinta en su rotulador
@gatalua,muy facil le plantas tu coche en doble fila y cargas tranquilamente cuando vuelvas si esta esperando le sonries
@edwardma-6559,esta es la consecuencia de la falta de cultura de educacion de conciencia de civismo y un exceso de maldad y de ignorancia
@QuantumAlchemyst,esto se arreglara definitivamente al igual que pasa con los negacionistas del covid diecinueve a los que se la suda ir sin mascarilla y contagiar a otros tendria que estar castigado penalmente como si llevaras una jeringa con virus del sida y amenazaras a la gente de hecho es como ir con un arma cargada pero como en todo las administraciones son leeeentaaaaas y no ponen el semaforo hasta que no hay muertos en la interseccion mano dura y se acabo el problema es ese tipo de individuos egocentricos a los que no les importa nadie mas que ellos no te sulfures saul esto se arregla aunque pueda parecer muy bestia con cuatro coches reventados entonces se lo pensaran dos veces antes de actuar de esa forma pero lo haran para evitar que les vuelvan a reventar el coche no porque se den cuenta de lo nefasto e impresentable de su actitud pero bueno aunque sea por interes propio dejaran de joder a los demas hay gentuza que solo mira por si misma cenutrios por lo general material defectuoso que alli donde van lo joden todo y van sembrando mierda por doquier huyyyy perdon perdon es que se me ha calentado la lengua a mi tb me sacan de quicio
@MalChicho1,toda la razon lo mismo que el supercharger de fuengirola llame hace un ano y mande mails a tesla iberia y el encargado de infraestructuras de tesla iberia me llamo y me prometio y aseguro que la cosa cambiaria alli y que paso una mierda
@arrastaka11,tienen q poner algun sistema de pivote q se desbloquee a la activacion del punto de carga y si te pasas de listo activas aparcas y no enchufas q te cobre veras como nadie aparcaahhh y donosti is different
@stefanomodesti3825,tio estas en donosti ostras cuantos dias duraras
@ochoocho88,civismo es lo que necesitamos
@jonatan7003,tienes toda la razon
@dvrchweesse1frfdozemkaanai594,el ford focus azul que esta al lado de tu coche tambien habria que echarlo a patadas al muy guarro ahi choriceando plaza
@Pauzen69,a lo mejor alguien les raja las cuatro ruedas y aprenden
@juancisneros9654,es q usualmente estaran libres entonces les vale y lo aparcan
@yoyyaesta4808,existe un grupo de personas ponle un diez que viven desconectados de la etica no ven o no quieren ver y por eso el unico sistema son las multas
@Lamaffia360,si hay mucha gente que no es consiente del coronavirus que esta la vida en juego crees que la gente tendra empatia para hacer las cosas bien en los parking electricos esto no es alemania
@The_BlindAlley,pues nada aparca en doble fila te pones a cargar y dejas un telefono en el salpicadero cuando te llamen vas con toda la calma del mundo
@AldoBarahona,es un tema de ser civilizado muchos dicen serlo incluso exigir derechos cuando ellos no los respetan y van de listos ojo dudo que a estas alturas alguien no distinga los colores y porque estan ahi de ahi que la pandemia continue ahi tienes a los chinos ya la han superado en base al respeto
@LLON87,pues tienes toda la razon saul si de por si es dificil encontrar un punto de carga va y te encuentras de que la gente no tiene ni la minima educacion de dejar esa plaza libre para los vehiculos que lo pueden llegar a necesitar pero ya el colmo es que los propios duenos de los electricos aparquen en esas plazas sin cargar pensando que esa plaza es para ellos como si fueran duenos como dices tu saul verguenza le tenian que dar a todos por ciento inflate a dejar escritos en los cristales con el rotulador
@reowdes,pues llama la policia enves de hacer un video
@japostua,mucho sinverguenza hay para mi mas delito tienen los duenos de los electricos y no esten recargando es un punto de recarga no de aparcamiento a ver cuando le entra en la cabeza a la gente a mi cuando me pase aun no tengo electrico te aseguro que aparco delante tiro el cable y me pongo a cargar y me voy de ahi no sale
@pbsbs3751,se podria hinchar a meter multas la policia local
@alvarohurtado125,la verdad esque la gente es asquerosa uno si tienes un termico ni te hacerques a esas plazas dos si tienes un hibrido enchufable aparcas y cargas tres lo peor de lo peorsi tienes un electrico aparca pero carga de verdad no entiendo a la gente apartir de ahora todos los electricos que aparquen en la gasolinera a ver que les parece y los termicos que aparque en la gasolinera pero no reposten a ver que les parece al resto de termicos de verdad cada vez pierdo mas rapido la fe en la humanidad tengo quince anos y me encantan los electricos pero hay gente que no tendria ni que tener carnet de conducir ojala esto lo lea saul por cierto gracias por comunicar esto
@pacomoreno3698,llevas razon saul da verguenza yo tengo un termico y no se me ocurre ocupar un cargador para electricos me daria verguenza
@lobra7,yo llego alli con mi coche electrico y lo pongo delante de uno de esos termicos a cargar y el otro cuando venga a sacar su coche que se joda a tomar por
@luismiliberal,totalmente de acuerdo a mi este verano me han hecho sufrir para poder recargar por culpa de gente como esta
@artuo.3283,me has recordado a spiriman echando esa bronca mucho animo para el y fuerza yeah
@rodrigoflash,o se hace desde la administracion o no hay solucion si hay ley luego es foto y denuncia
@PascualDimas28,esperate cuando el mundo sea electrico puro veo a saul creando un canal de quejas jajajajaja ahora fuera conas hay mucho irresponsable que no tiene ni idea de lo que es un coche electrico o hibridos enchufados y muchos se compran coches electricos sin consultar su funcionamiento y si hay puntos de recarga es una verguenza tu lo has dicho saul lopez
@lucho_socorro,el ultimo auto que iba llegando al aparcamiento era diesel y se iba a aparcar
@BlackMss,toda la razon del mundo saul el parking un diez los incivicos y los que dan el mal uso los usuarios y siendo propietarios vamos que poca empatia podrian ser ellos los que necesitaran ese punto de carga es de idiotas ocupar un surtidor aparcado lo mismo los primeros bah esta vacio los siguientes bueno hay dos pos yo tb el ultimo justo el que necesitaba cargar de verdad nono y no
@gonzaloaranda5590,playa de la concha incojonuda y se la soplan
@eugenioayuso5571,estamos en espana saulcomo eso la gran mayoria de las cosas tenemos lo que educamos
@oblitum,el coche azul del final iba a aparcar en la plaza que habia libre en los cargadores menos mal que no lo hizo sino saul lo mata
@dg59sf24wt,pasa igual con lo s aparcamientos de minusvalidos en espana hay gente iresponsable
@ozu339,llama a la policia local
@JavierRigaud,la cuestion del morro el egoismo la jeta la falta de empatia que se tiene en general por el projimo es endemica en este pais aunque tampoco es el unico aqui solo entendemos a base de multas y palos somos asi y no te encabrones porque no tiene remedio o
@angelbull48,hay una solucion con una llave o una punta se les deja un mensaje en el capot
@krowperez,proximamente powerbanks para teslas xddddd
@Axlagain,hay algun cartel que ponga que es una plaza exclusiva para cargar de todas formas es un clasico ver coches termicos aparcados en plazas de carga
@juanmanuelmartinmacho6715,no llevas el rotulador saul
@miguelangelsfd,no tengo coche electrico pero jamas se me ocurriria aparcar ahi es una insolidaridad absoluta por decirlo suavemente
